Código;Nombre;Marca;Nombre marca;Familia;Nombre familia;;;;;;;;;
008;SALCHICHON CULAR BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0083;SALCHICHON CULAR CEBO IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0202;SALCHICHON CULAR CEBO IBERICO C-V;;;AA004;-004-VARIOS;;;;;;;;;
0080;SALCHICHON CULAR SERRANO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
00114;SALCHICHON LA PEPONA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0081;SALCHICHON VELA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
346;SAN JACOBOS;;;AA008;-008-PRECOCINADOS;;;;;;;;;
001;SARTA IBERICA DULCE;;;AA002;-002-EMBUTIDOS;;;;;;;;;
002;SARTA IBERICA PICANTE;;;AA002;-002-EMBUTIDOS;;;;;;;;;
003;SARTA IBERICA SALCHICHON;;;AA002;-002-EMBUTIDOS;;;;;;;;;
141;SARTA IBERICA TIERNA;;;AA004;-004-VARIOS;;;;;;;;;
148;SARTA MATANZA;;;AA004;-004-VARIOS;;;;;;;;;
00111;SARTA SERRANA DULCE;;;AA002;-002-EMBUTIDOS;;;;;;;;;
00112;SARTA SERRANA PICANTE;;;AA002;-002-EMBUTIDOS;;;;;;;;;
00113;SARTA SERRANA SALCHICHON;;;AA002;-002-EMBUTIDOS;;;;;;;;;
138;SECRETO BLANCO;;;AA004;-004-VARIOS;;;;;;;;;
137;SECRETO IBERICO;;;AA004;-004-VARIOS;;;;;;;;;
1510;SOFRITO LA BERCIANA;;;AA004;-004-VARIOS;;;;;;;;;
6000005;SOLOMILLO DE CERDO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
105;SOLOMILLO FRESCO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
1051;SOLOMILLOS CURADOS;;;AA002;-002-EMBUTIDOS;;;;;;;;;
1006;SURTIDO MANTECADOS Y POLVORONES 300 GRS NAVIDAD;;;AA004;-004-VARIOS;;;;;;;;;
253;TAPA DE TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
3000;TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
122;TOCINO FRESCO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
101;TOCINO IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
